Losses,FuelType,Aspiration,NumDoors,BodyStyle,DriveWheels,Length,Width,Height,Weight,EngineSize,Horsepower,PeakRPM,Citympg,Price
?,gas,std,two,convertible,rwd,168.8,64.1,48.8,2548,130,111,5000,21,13495
?,gas,std,two,convertible,rwd,168.8,64.1,48.8,2548,130,111,5000,21,16500
?,gas,std,two,hatchback,rwd,171.2,65.5,52.4,2823,152,154,5000,19,16500
164,gas,std,four,sedan,fwd,176.6,66.2,54.3,2337,109,102,5500,24,13950
164,gas,std,four,sedan,4wd,176.6,66.4,54.3,2824,136,115,5500,18,17450
?,gas,std,two,sedan,fwd,177.3,66.3,53.1,2507,136,110,5500,19,15250
158,gas,std,four,sedan,fwd,192.7,71.4,55.7,2844,136,110,5500,19,17710
?,gas,std,four,wagon,fwd,192.7,71.4,55.7,2954,136,110,5500,19,18920
158,gas,turbo,four,sedan,fwd,192.7,71.4,55.9,3086,131,140,5500,17,23875
?,gas,turbo,two,hatchback,4wd,178.2,67.9,52,3053,131,160,5500,16,?
192,gas,std,two,sedan,rwd,176.8,64.8,54.3,2395,108,101,5800,23,16430
192,gas,std,four,sedan,rwd,176.8,64.8,54.3,2395,108,101,5800,23,16925
188,gas,std,two,sedan,rwd,176.8,64.8,54.3,2710,164,121,4250,21,20970
188,gas,std,four,sedan,rwd,176.8,64.8,54.3,2765,164,121,4250,21,21105
?,gas,std,four,sedan,rwd,189,66.9,55.7,3055,164,121,4250,20,24565
?,gas,std,four,sedan,rwd,189,66.9,55.7,3230,209,182,5400,16,30760
?,gas,std,two,sedan,rwd,193.8,67.9,53.7,3380,209,182,5400,16,41315
?,gas,std,four,sedan,rwd,197,70.9,56.3,3505,209,182,5400,15,36880
121,gas,std,two,hatchback,fwd,141.1,60.3,53.2,1488,61,48,5100,47,5151
98,gas,std,two,hatchback,fwd,155.9,63.6,52,1874,90,70,5400,38,6295
81,gas,std,four,sedan,fwd,158.8,63.6,52,1909,90,70,5400,38,6575
118,gas,std,two,hatchback,fwd,157.3,63.8,50.8,1876,90,68,5500,37,5572
118,gas,std,two,hatchback,fwd,157.3,63.8,50.8,1876,90,68,5500,31,6377
118,gas,turbo,two,hatchback,fwd,157.3,63.8,50.8,2128,98,102,5500,24,7957
148,gas,std,four,hatchback,fwd,157.3,63.8,50.6,1967,90,68,5500,31,6229
148,gas,std,four,sedan,fwd,157.3,63.8,50.6,1989,90,68,5500,31,6692
148,gas,std,four,sedan,fwd,157.3,63.8,50.6,1989,90,68,5500,31,7609
148,gas,turbo,?,sedan,fwd,157.3,63.8,50.6,2191,98,102,5500,24,8558
110,gas,std,four,wagon,fwd,174.6,64.6,59.8,2535,122,88,5000,24,8921
145,gas,turbo,two,hatchback,fwd,173.2,66.3,50.2,2811,156,145,5000,19,12964
137,gas,std,two,hatchback,fwd,144.6,63.9,50.8,1713,92,58,4800,49,6479
137,gas,std,two,hatchback,fwd,144.6,63.9,50.8,1819,92,76,6000,31,6855
101,gas,std,two,hatchback,fwd,150,64,52.6,1837,79,60,5500,38,5399
101,gas,std,two,hatchback,fwd,150,64,52.6,1940,92,76,6000,30,6529
101,gas,std,two,hatchback,fwd,150,64,52.6,1956,92,76,6000,30,7129
110,gas,std,four,sedan,fwd,163.4,64,54.5,2010,92,76,6000,30,7295
78,gas,std,four,wagon,fwd,157.1,63.9,58.3,2024,92,76,6000,30,7295
106,gas,std,two,hatchback,fwd,167.5,65.2,53.3,2236,110,86,5800,27,7895
106,gas,std,two,hatchback,fwd,167.5,65.2,53.3,2289,110,86,5800,27,9095
85,gas,std,four,sedan,fwd,175.4,65.2,54.1,2304,110,86,5800,27,8845
85,gas,std,four,sedan,fwd,175.4,62.5,54.1,2372,110,86,5800,27,10295
85,gas,std,four,sedan,fwd,175.4,65.2,54.1,2465,110,101,5800,24,12945
107,gas,std,two,sedan,fwd,169.1,66,51,2293,110,100,5500,25,10345
?,gas,std,four,sedan,rwd,170.7,61.8,53.5,2337,111,78,4800,24,6785
?,gas,std,two,sedan,fwd,155.9,63.6,52,1874,90,70,5400,38,?
?,gas,std,four,sedan,fwd,155.9,63.6,52,1909,90,70,5400,38,?
?,gas,std,two,hatchback,rwd,172.6,65.2,51.4,2734,119,90,5000,24,11048
145,gas,std,four,sedan,rwd,199.6,69.6,52.8,4066,258,176,4750,15,32250
?,gas,std,four,sedan,rwd,199.6,69.6,52.8,4066,258,176,4750,15,35550
?,gas,std,two,sedan,rwd,191.7,70.6,47.8,3950,326,262,5000,13,36000
104,gas,std,two,hatchback,fwd,159.1,64.2,54.1,1890,91,68,5000,30,5195
104,gas,std,two,hatchback,fwd,159.1,64.2,54.1,1900,91,68,5000,31,6095
104,gas,std,two,hatchback,fwd,159.1,64.2,54.1,1905,91,68,5000,31,6795
113,gas,std,four,sedan,fwd,166.8,64.2,54.1,1945,91,68,5000,31,6695
113,gas,std,four,sedan,fwd,166.8,64.2,54.1,1950,91,68,5000,31,7395
150,gas,std,two,hatchback,rwd,169,65.7,49.6,2380,70,101,6000,17,10945
150,gas,std,two,hatchback,rwd,169,65.7,49.6,2380,70,101,6000,17,11845
150,gas,std,two,hatchback,rwd,169,65.7,49.6,2385,70,101,6000,17,13645
150,gas,std,two,hatchback,rwd,169,65.7,49.6,2500,80,135,6000,16,15645
129,gas,std,two,hatchback,fwd,177.8,66.5,53.7,2385,122,84,4800,26,8845
115,gas,std,four,sedan,fwd,177.8,66.5,55.5,2410,122,84,4800,26,8495
129,gas,std,two,hatchback,fwd,177.8,66.5,53.7,2385,122,84,4800,26,10595
115,gas,std,four,sedan,fwd,177.8,66.5,55.5,2410,122,84,4800,26,10245
?,diesel,std,?,sedan,fwd,177.8,66.5,55.5,2443,122,64,4650,36,10795
115,gas,std,four,hatchback,fwd,177.8,66.5,55.5,2425,122,84,4800,26,11245
118,gas,std,four,sedan,rwd,175,66.1,54.4,2670,140,120,5000,19,18280
?,diesel,std,four,sedan,rwd,175,66.1,54.4,2700,134,72,4200,31,18344
93,diesel,turbo,four,sedan,rwd,190.9,70.3,56.5,3515,183,123,4350,22,25552
93,diesel,turbo,four,wagon,rwd,190.9,70.3,58.7,3750,183,123,4350,22,28248
93,diesel,turbo,two,hardtop,rwd,187.5,70.3,54.9,3495,183,123,4350,22,28176
93,diesel,turbo,four,sedan,rwd,202.6,71.7,56.3,3770,183,123,4350,22,31600
?,gas,std,four,sedan,rwd,202.6,71.7,56.5,3740,234,155,4750,16,34184
142,gas,std,two,convertible,rwd,180.3,70.5,50.8,3685,234,155,4750,16,35056
