"FuelType","Aspiration","NumDoors","BodyStyle","DriveWheels","Length","Width","Height","Weight","EngineSize","Horsepower","PeakRPM","Citympg","Price","HighLoss"
"gas","std","four","sedan","fwd",176.6,66.2,54.3,2337,109,102,5500,24,13950,"Yes"
"gas","std","four","sedan","4wd",176.6,66.4,54.3,2824,136,115,5500,18,17450,"Yes"
"gas","std","four","sedan","fwd",192.7,71.4,55.7,2844,136,110,5500,19,17710,"Yes"
"gas","turbo","four","sedan","fwd",192.7,71.4,55.9,3086,131,140,5500,17,23875,"Yes"
"gas","std","two","sedan","rwd",176.8,64.8,54.3,2395,108,101,5800,23,16430,"Yes"
"gas","std","four","sedan","rwd",176.8,64.8,54.3,2395,108,101,5800,23,16925,"Yes"
"gas","std","two","sedan","rwd",176.8,64.8,54.3,2710,164,121,4250,21,20970,"Yes"
"gas","std","four","sedan","rwd",176.8,64.8,54.3,2765,164,121,4250,21,21105,"Yes"
"gas","std","two","hatchback","fwd",141.1,60.3,53.2,1488,61,48,5100,47,5151,"Yes"
"gas","std","two","hatchback","fwd",155.9,63.6,52,1874,90,70,5400,38,6295,"No"
"gas","std","four","sedan","fwd",158.8,63.6,52,1909,90,70,5400,38,6575,"No"
"gas","std","two","hatchback","fwd",157.3,63.8,50.8,1876,90,68,5500,37,5572,"No"
"gas","std","two","hatchback","fwd",157.3,63.8,50.8,1876,90,68,5500,31,6377,"No"
"gas","turbo","two","hatchback","fwd",157.3,63.8,50.8,2128,98,102,5500,24,7957,"No"
"gas","std","four","hatchback","fwd",157.3,63.8,50.6,1967,90,68,5500,31,6229,"Yes"
"gas","std","four","sedan","fwd",157.3,63.8,50.6,1989,90,68,5500,31,6692,"Yes"
"gas","std","four","sedan","fwd",157.3,63.8,50.6,1989,90,68,5500,31,7609,"Yes"
"gas","std","four","wagon","fwd",174.6,64.6,59.8,2535,122,88,5000,24,8921,"No"
"gas","turbo","two","hatchback","fwd",173.2,66.3,50.2,2811,156,145,5000,19,12964,"Yes"
"gas","std","two","hatchback","fwd",144.6,63.9,50.8,1713,92,58,4800,49,6479,"Yes"
"gas","std","two","hatchback","fwd",144.6,63.9,50.8,1819,92,76,6000,31,6855,"Yes"
"gas","std","two","hatchback","fwd",150,64,52.6,1837,79,60,5500,38,5399,"No"
"gas","std","two","hatchback","fwd",150,64,52.6,1940,92,76,6000,30,6529,"No"
"gas","std","two","hatchback","fwd",150,64,52.6,1956,92,76,6000,30,7129,"No"
"gas","std","four","sedan","fwd",163.4,64,54.5,2010,92,76,6000,30,7295,"No"
"gas","std","four","wagon","fwd",157.1,63.9,58.3,2024,92,76,6000,30,7295,"No"
"gas","std","two","hatchback","fwd",167.5,65.2,53.3,2236,110,86,5800,27,7895,"No"
"gas","std","two","hatchback","fwd",167.5,65.2,53.3,2289,110,86,5800,27,9095,"No"
"gas","std","four","sedan","fwd",175.4,65.2,54.1,2304,110,86,5800,27,8845,"No"
"gas","std","four","sedan","fwd",175.4,62.5,54.1,2372,110,86,5800,27,10295,"No"
"gas","std","four","sedan","fwd",175.4,65.2,54.1,2465,110,101,5800,24,12945,"No"
"gas","std","two","sedan","fwd",169.1,66,51,2293,110,100,5500,25,10345,"No"
"gas","std","four","sedan","rwd",199.6,69.6,52.8,4066,258,176,4750,15,32250,"Yes"
"gas","std","two","hatchback","fwd",159.1,64.2,54.1,1890,91,68,5000,30,5195,"No"
"gas","std","two","hatchback","fwd",159.1,64.2,54.1,1900,91,68,5000,31,6095,"No"
"gas","std","two","hatchback","fwd",159.1,64.2,54.1,1905,91,68,5000,31,6795,"No"
"gas","std","four","sedan","fwd",166.8,64.2,54.1,1945,91,68,5000,31,6695,"No"
"gas","std","four","sedan","fwd",166.8,64.2,54.1,1950,91,68,5000,31,7395,"No"
"gas","std","two","hatchback","rwd",169,65.7,49.6,2380,70,101,6000,17,10945,"Yes"
"gas","std","two","hatchback","rwd",169,65.7,49.6,2380,70,101,6000,17,11845,"Yes"
"gas","std","two","hatchback","rwd",169,65.7,49.6,2385,70,101,6000,17,13645,"Yes"
"gas","std","two","hatchback","rwd",169,65.7,49.6,2500,80,135,6000,16,15645,"Yes"
"gas","std","two","hatchback","fwd",177.8,66.5,53.7,2385,122,84,4800,26,8845,"Yes"
"gas","std","four","sedan","fwd",177.8,66.5,55.5,2410,122,84,4800,26,8495,"No"
"gas","std","two","hatchback","fwd",177.8,66.5,53.7,2385,122,84,4800,26,10595,"Yes"
"gas","std","four","sedan","fwd",177.8,66.5,55.5,2410,122,84,4800,26,10245,"No"
